#    time(ps)        R(t,x=0)       J(t,x=L)
   0.204000E+02   0.411378E+04   0.111256E+04
   0.205000E+02   0.411869E+04   0.111721E+04
   0.206000E+02   0.412357E+04   0.112182E+04
   0.207000E+02   0.412840E+04   0.112639E+04
   0.208000E+02   0.413320E+04   0.113094E+04
   0.209000E+02   0.413796E+04   0.113545E+04
   0.210000E+02   0.414268E+04   0.113993E+04
   0.211000E+02   0.414736E+04   0.114438E+04
   0.212000E+02   0.415200E+04   0.114880E+04
   0.213000E+02   0.415661E+04   0.115319E+04
   0.214000E+02   0.416118E+04   0.115755E+04
   0.215000E+02   0.416571E+04   0.116187E+04
   0.216000E+02   0.417020E+04   0.116617E+04
   0.217000E+02   0.417466E+04   0.117043E+04
   0.218000E+02   0.417909E+04   0.117467E+04
   0.219000E+02   0.418348E+04   0.117887E+04
   0.220000E+02   0.418783E+04   0.118304E+04
   0.221000E+02   0.419215E+04   0.118719E+04
   0.222000E+02   0.419643E+04   0.119130E+04
   0.223000E+02   0.420068E+04   0.119539E+04
   0.224000E+02   0.420490E+04   0.119944E+04
   0.225000E+02   0.420908E+04   0.120347E+04
   0.226000E+02   0.421323E+04   0.120747E+04
   0.227000E+02   0.421735E+04   0.121144E+04
   0.228000E+02   0.422143E+04   0.121538E+04
   0.229000E+02   0.422548E+04   0.121929E+04
   0.230000E+02   0.422950E+04   0.122317E+04
   0.231000E+02   0.423349E+04   0.122703E+04
   0.232000E+02   0.423745E+04   0.123086E+04
   0.233000E+02   0.424137E+04   0.123466E+04
   0.234000E+02   0.424527E+04   0.123843E+04
   0.235000E+02   0.424913E+04   0.124218E+04
   0.236000E+02   0.425296E+04   0.124589E+04
   0.237000E+02   0.425677E+04   0.124959E+04
   0.238000E+02   0.426054E+04   0.125325E+04
   0.239000E+02   0.426428E+04   0.125689E+04
   0.240000E+02   0.426800E+04   0.126050E+04
   0.241000E+02   0.427168E+04   0.126408E+04
   0.242000E+02   0.427534E+04   0.126764E+04
   0.243000E+02   0.427897E+04   0.127118E+04
   0.244000E+02   0.428256E+04   0.127468E+04
   0.245000E+02   0.428614E+04   0.127816E+04
   0.246000E+02   0.428968E+04   0.128162E+04
   0.247000E+02   0.429319E+04   0.128505E+04
   0.248000E+02   0.429668E+04   0.128846E+04
   0.249000E+02   0.430014E+04   0.129184E+04
   0.250000E+02   0.430357E+04   0.129519E+04
   0.251000E+02   0.430698E+04   0.129852E+04
   0.252000E+02   0.431036E+04   0.130183E+04
   0.253000E+02   0.431372E+04   0.130511E+04
   0.254000E+02   0.431704E+04   0.130837E+04
   0.255000E+02   0.432034E+04   0.131161E+04
   0.256000E+02   0.432362E+04   0.131482E+04
   0.257000E+02   0.432687E+04   0.131800E+04
   0.258000E+02   0.433010E+04   0.132117E+04
   0.259000E+02   0.433330E+04   0.132431E+04
   0.260000E+02   0.433647E+04   0.132742E+04
   0.261000E+02   0.433962E+04   0.133052E+04
   0.262000E+02   0.434275E+04   0.133359E+04
   0.263000E+02   0.434585E+04   0.133664E+04
   0.264000E+02   0.434893E+04   0.133966E+04
   0.265000E+02   0.435199E+04   0.134267E+04
   0.266000E+02   0.435502E+04   0.134565E+04
   0.267000E+02   0.435802E+04   0.134861E+04
   0.268000E+02   0.436101E+04   0.135154E+04
   0.269000E+02   0.436397E+04   0.135446E+04
   0.270000E+02   0.436691E+04   0.135735E+04
   0.271000E+02   0.436982E+04   0.136022E+04
   0.272000E+02   0.437272E+04   0.136308E+04
   0.273000E+02   0.437559E+04   0.136591E+04
   0.274000E+02   0.437844E+04   0.136871E+04
   0.275000E+02   0.438126E+04   0.137150E+04
   0.276000E+02   0.438407E+04   0.137427E+04
   0.277000E+02   0.438685E+04   0.137702E+04
   0.278000E+02   0.438961E+04   0.137974E+04
   0.279000E+02   0.439235E+04   0.138245E+04
   0.280000E+02   0.439507E+04   0.138513E+04
   0.281000E+02   0.439777E+04   0.138780E+04
   0.282000E+02   0.440045E+04   0.139045E+04
   0.283000E+02   0.440311E+04   0.139307E+04
   0.284000E+02   0.440574E+04   0.139568E+04
   0.285000E+02   0.440836E+04   0.139827E+04
   0.286000E+02   0.441096E+04   0.140084E+04
   0.287000E+02   0.441353E+04   0.140338E+04
   0.288000E+02   0.441609E+04   0.140591E+04
   0.289000E+02   0.441863E+04   0.140843E+04
   0.290000E+02   0.442115E+04   0.141092E+04
   0.291000E+02   0.442364E+04   0.141339E+04
   0.292000E+02   0.442612E+04   0.141585E+04
   0.293000E+02   0.442858E+04   0.141828E+04
   0.294000E+02   0.443103E+04   0.142070E+04
