#    time(ps)        R(t,x=0)       J(t,x=L)
   0.227000E+02   0.510570E+04   0.968277E+01
   0.228000E+02   0.510864E+04   0.987137E+01
   0.229000E+02   0.511157E+04   0.100622E+02
   0.230000E+02   0.511448E+04   0.102552E+02
   0.231000E+02   0.511737E+04   0.104504E+02
   0.232000E+02   0.512024E+04   0.106479E+02
   0.233000E+02   0.512310E+04   0.108476E+02
   0.234000E+02   0.512594E+04   0.110494E+02
   0.235000E+02   0.512876E+04   0.112535E+02
   0.236000E+02   0.513156E+04   0.114599E+02
   0.237000E+02   0.513434E+04   0.116684E+02
   0.238000E+02   0.513711E+04   0.118792E+02
   0.239000E+02   0.513986E+04   0.120921E+02
   0.240000E+02   0.514259E+04   0.123073E+02
   0.241000E+02   0.514531E+04   0.125248E+02
   0.242000E+02   0.514801E+04   0.127444E+02
   0.243000E+02   0.515070E+04   0.129663E+02
   0.244000E+02   0.515337E+04   0.131903E+02
   0.245000E+02   0.515602E+04   0.134166E+02
   0.246000E+02   0.515866E+04   0.136452E+02
   0.247000E+02   0.516128E+04   0.138759E+02
   0.248000E+02   0.516388E+04   0.141088E+02
   0.249000E+02   0.516648E+04   0.143440E+02
   0.250000E+02   0.516905E+04   0.145814E+02
   0.251000E+02   0.517161E+04   0.148209E+02
   0.252000E+02   0.517416E+04   0.150627E+02
   0.253000E+02   0.517669E+04   0.153067E+02
   0.254000E+02   0.517921E+04   0.155529E+02
   0.255000E+02   0.518171E+04   0.158013E+02
   0.256000E+02   0.518420E+04   0.160518E+02
   0.257000E+02   0.518667E+04   0.163046E+02
   0.258000E+02   0.518913E+04   0.165596E+02
   0.259000E+02   0.519158E+04   0.168167E+02
   0.260000E+02   0.519401E+04   0.170760E+02
   0.261000E+02   0.519643E+04   0.173375E+02
   0.262000E+02   0.519883E+04   0.176012E+02
   0.263000E+02   0.520122E+04   0.178670E+02
   0.264000E+02   0.520360E+04   0.181350E+02
   0.265000E+02   0.520597E+04   0.184051E+02
   0.266000E+02   0.520832E+04   0.186774E+02
   0.267000E+02   0.521066E+04   0.189519E+02
   0.268000E+02   0.521299E+04   0.192285E+02
   0.269000E+02   0.521530E+04   0.195072E+02
   0.270000E+02   0.521760E+04   0.197881E+02
   0.271000E+02   0.521989E+04   0.200711E+02
   0.272000E+02   0.522217E+04   0.203562E+02
   0.273000E+02   0.522443E+04   0.206434E+02
   0.274000E+02   0.522669E+04   0.209327E+02
   0.275000E+02   0.522893E+04   0.212241E+02
   0.276000E+02   0.523115E+04   0.215177E+02
   0.277000E+02   0.523337E+04   0.218133E+02
   0.278000E+02   0.523558E+04   0.221110E+02
   0.279000E+02   0.523777E+04   0.224107E+02
   0.280000E+02   0.523995E+04   0.227126E+02
   0.281000E+02   0.524212E+04   0.230165E+02
   0.282000E+02   0.524428E+04   0.233224E+02
   0.283000E+02   0.524643E+04   0.236304E+02
   0.284000E+02   0.524857E+04   0.239404E+02
   0.285000E+02   0.525069E+04   0.242525E+02
   0.286000E+02   0.525281E+04   0.245666E+02
   0.287000E+02   0.525491E+04   0.248827E+02
   0.288000E+02   0.525701E+04   0.252008E+02
   0.289000E+02   0.525909E+04   0.255209E+02
   0.290000E+02   0.526116E+04   0.258430E+02
