#    time(ps)        R(t,x=0)       J(t,x=L)
   0.182000E+03   0.555785E+04   0.116595E+04
   0.183000E+03   0.555785E+04   0.116595E+04
   0.184000E+03   0.555785E+04   0.116595E+04
   0.185000E+03   0.555785E+04   0.116595E+04
   0.186000E+03   0.555785E+04   0.116595E+04
   0.187000E+03   0.555785E+04   0.116595E+04
   0.188000E+03   0.555785E+04   0.116595E+04
   0.189000E+03   0.555785E+04   0.116595E+04
   0.190000E+03   0.555785E+04   0.116595E+04
   0.191000E+03   0.555785E+04   0.116595E+04
   0.192000E+03   0.555785E+04   0.116595E+04
   0.193000E+03   0.555785E+04   0.116595E+04
   0.194000E+03   0.555785E+04   0.116595E+04
   0.195000E+03   0.555785E+04   0.116595E+04
   0.196000E+03   0.555785E+04   0.116595E+04
   0.197000E+03   0.555785E+04   0.116595E+04
   0.198000E+03   0.555785E+04   0.116595E+04
   0.199000E+03   0.555785E+04   0.116595E+04
